,sample_ids,pheno2
393,1918,6.291645329007148
396,1952,8.960497765102968
397,1960,9.127270981138883
399,1938,10.74721531946222
401,1720,10.716228523664348
404,1752,11.65499441506835
405,1729,10.396638732615411
406,1745,13.98039320051138
407,1753,9.198689690485098
408,1722,13.563966045170384
409,1730,14.14961200309795
410,1738,10.174130200665342
413,1733,14.018140795130329
414,1718,8.179997837123109
416,1750,13.691974248577695
417,1782,11.663448296797773
418,1719,12.590899322124624
419,1751,12.677279490580943
420,2214,6.498109787219594
421,2201,15.376092165495823
422,2204,9.316310465435643
423,2294,14.087359001495782
424,2280,11.75405387642464
426,2292,8.034920820105755
429,2283,2.537640193842675
431,7580,11.095221690373398
432,7578,9.77363648622396
434,8608,8.750869877650171
436,8760,17.466135242479368
437,8768,5.533332685902996
440,8770,6.352176589740085
441,8730,11.481991244193452
442,8619,13.69335197328989
443,8629,11.467773419234238
444,8612,11.18420040342127
445,8724,10.233572059024114
452,8557,11.25265047381304
456,8787,8.561284046475748
462,9041,13.191229330565148
465,8985,8.518820945473962
466,8957,13.710178095783531
467,8966,8.418204631864072
468,8695,15.69985361296933
472,9012,15.37769004698846
473,8969,8.94699329861427
474,8961,15.66153186087739
475,8970,9.96480728755362
478,8965,12.73398796664707
480,8975,11.937589107650425
481,9006,13.572940044767922
484,8977,12.17216389493593
486,9008,12.49885803633221
488,8719,11.843367303919408
490,9011,10.552964873309705
493,999,11.097412788469423
497,407,13.286281702012657
498,402,5.661603512318781
501,409,5.755807382328489
502,413,11.952873484013972
504,5848,6.108802553745455
505,6416,8.23625246644641
506,5838,5.808984828047543
507,6287,7.827550858960704
510,5894,3.794083537526226
511,5904,5.405241807539452
515,5895,9.93809299312204
519,5932,8.079034102787038
521,5961,6.49540292520288
522,5970,8.899634102802194
524,5906,11.561581815766203
528,5953,8.78853349087884
529,5963,8.477961728080047
533,5898,10.468325338756944
536,5926,8.462076279841282
538,5945,10.297296849729856
539,5955,4.661955373674384
541,5900,6.545950264821007
542,5927,5.6452006028326345
543,5946,10.157368894707911
545,5975,6.132048667118037
548,5875,9.14707831325922
549,5948,12.871360495898235
551,5920,6.257090717177737
555,5988,15.464331585462478
562,6004,8.579308331622332
564,5982,7.605382871375212
567,6309,9.895451618207575
569,6444,6.775240072602067
570,5997,7.146306533030513
571,6007,8.061625861223295
573,5998,15.827333655095742
575,6435,7.388936476730846
579,5915,5.710902649865586
582,6003,6.364039976207673
583,5899,13.809882291474326
586,5916,8.833706184002743
587,5878,11.250548981411708
589,5990,4.689803321782827
590,5996,8.263971452475761
591,5940,8.492145795724088
592,5846,13.908000346084624
593,5871,12.234390225524283
594,6436,5.458616915368467
597,6402,13.924558588296572
599,5285,6.903662590475811
603,9143,7.920549594986767
605,6143,4.97018791495439
607,8218,8.548511635028564
608,5835,4.558084875490502
609,6412,12.05406887996526
611,5870,14.614011598382367
613,6120,6.476849103862454
615,1409,7.669726517978922
617,6983,10.038950893609428
618,6985,5.531569442534848
620,7526,15.254090665351931
623,6965,5.573616715547109
625,6899,6.385275364497553
627,6906,9.818703044158388
628,6916,6.70314739696831
629,8215,10.285906392510489
632,6972,9.89384470387682
633,6977,10.382024416695238
634,8329,14.86975609069962
635,7379,10.366530493465486
636,7080,6.272473776343264
638,7340,9.42449629329796
640,281,7.960657521172807
641,8254,7.29057238947849
642,8270,11.794287428834805
643,8423,13.232444008167612
645,7139,9.848948150039364
646,7331,7.924866948439428
647,7405,10.673812868287277
648,66,6.96835549594291
653,5753,10.3643454436898
654,6709,12.831378899958548
658,7166,9.003234961308767
659,7275,8.177559399451447
662,7330,12.846059531972744
665,6988,16.769904451707383
667,8265,10.20447873632348
669,6190,11.282365738994208
671,8296,4.885047367251165
672,8300,7.525487993544785
673,8310,15.832226776569492
674,8314,6.258131856299636
675,8323,7.993802395927108
676,8325,7.7647941581889715
677,8430,5.558247864642404
679,8374,10.522732736899254
683,7507,5.501421203672891
684,6005,6.115448151704808
686,5380,6.697565183967905
687,5381,4.930654940519422
692,7490,9.127224791525494
693,7492,8.705316431496794
697,5987,7.1894799126919775
701,374,6.699061626004222
703,1859,9.145910105823194
705,6448,5.03549110902055
707,8411,6.901775153128828
708,8388,10.718895805797423
709,8395,9.811132280000958
711,6810,7.773448215300482
717,2150,7.978930824208581
718,100000,6.747096200887656
719,8266,16.574673981391268
721,6910,8.277142562544181
722,6914,7.79937648276155
725,7522,10.842357567641765
727,6939,12.89411693563675
729,6942,11.308216634164223
737,7463,9.261621622534737
741,7152,10.335568357223847
746,2327,10.610839164890011
748,7168,8.303174938180806
749,7423,9.748651134309046
755,7303,10.639059664151237
757,7406,9.187429836498996
758,2320,3.794621876087623
760,7462,6.736849025967807
761,5385,7.176213083553581
762,5292,6.609776324751175
767,5310,6.770052494870192
768,5282,6.604311421684662
769,5339,6.805292532196537
771,5331,9.238581733735764
773,5373,10.704464766034317
775,7069,5.722053530074006
777,7502,16.914148059107035
779,373,7.491989752412959
780,383,7.282614504042266
782,957,1.865039660139412
783,998,10.152040407003906
785,9152,8.703385582678674
786,9165,9.72560040847098
789,6729,11.434839481307964
790,7252,8.084776541883372
796,1,8.366867894842741
800,267,15.83852846806515
801,5742,11.891952977960964
804,5158,12.428617638196284
808,7227,7.541040818621785
809,7229,8.487540536701198
810,7449,8.291874213264798
811,6847,11.35587890554105
813,7283,6.465412484290303
815,386,7.069241295628031
817,1967,10.155856658035688
818,5785,10.630406917257094
820,5116,11.563453215455946
821,5202,11.21353986361892
824,7151,8.11263665485076
825,7150,7.517643602501694
828,7201,11.99803304740194
831,7260,6.100525839641853
833,7472,8.978630901679374
834,7392,10.884444486542447
835,8610,7.251196613707904
836,8692,9.22326396299913
838,7105,9.638576029293986
839,7479,8.117472575364863
843,7355,5.21067403140382
844,5896,5.944185783419574
845,166,10.506593728163072
846,223,7.503799395880103
847,126,6.871085464689275
850,259,10.011761872505923
857,5606,9.203766882500812
858,5628,9.067338747577748
859,7004,5.429430618346592
860,7100,7.508040538227908
863,2187,8.347219714195546
867,4935,6.8241695289232
869,5596,7.066413177497674
870,5517,9.362488251722713
872,5590,8.653277569323118
873,5536,5.7401013188975
880,5341,5.24460486530764
881,6449,7.644887554132621
883,1363,9.169249787501377
885,1360,14.960968624246265
886,1362,14.493324115043604
887,1256,6.773975969597156
889,9434,12.684779948611002
891,9410,7.154166985771983
893,9384,10.231393465387608
894,88,13.182848855844158
896,139,9.658255796767262
897,159,4.652661419192376
898,265,13.092842169030837
899,350,11.328614157104226
901,403,8.61043803174887
903,424,10.506070732186284
904,428,6.044146875616015
906,470,14.769396180255892
907,476,14.486152412095286
911,531,15.905299047992823
912,544,14.896493416759522
913,546,15.3182824665889
915,630,5.168308466127243
918,685,14.740513823114943
919,687,13.96983178719798
921,742,15.481426580310991
923,765,14.308244894768348
924,766,7.426405422445803
926,772,7.092312489736882
929,854,13.777248152926289
931,868,14.988637282852878
935,991,10.715410850170112
937,997,7.750610830308037
