,pheno3
1432,9.324134133831144
696,8.499418793674929
577,9.788428623523334
1822,11.64286047144827
1478,10.073695825329173
1646,6.817156432836227
1608,6.047599805377041
260,5.906532278139364
1764,8.934583388553815
1430,12.980288408747947
374,13.202876259225924
650,7.455305324050253
1289,8.033748578129229
1770,7.011847205775901
156,9.198605414335171
785,11.017254166733617
343,12.083983800694476
729,7.551023172834598
311,3.1554056765577663
501,7.824254706469262
1673,5.827199632538454
331,2.2741661910646007
1389,16.261001932701866
1844,6.760794110010416
1382,7.191263990999122
1514,8.787011401466215
753,7.821994377575758
126,9.492618781997976
253,3.90721894081967
1344,6.560334816788069
1883,4.993847395734526
558,5.832255783887234
1689,6.899684305017466
1392,15.204662495907318
683,7.574087729151676
961,7.014417119585557
1547,5.3380154885657705
1862,6.847929089796336
1672,5.041162299274357
450,7.0824509741186965
384,9.951694664646322
754,9.860020430272549
146,8.539642644634947
906,15.435838989667827
1283,5.815138659533028
485,3.477899526002762
417,6.960467067600204
825,11.593751472648012
352,11.855339430952595
1234,4.581580439165297
1849,5.295230635148496
1045,7.83254208545016
1066,9.238616950085186
886,13.1134957497524
1826,6.585852631837307
368,4.219197731463959
1464,5.120679821957977
1600,9.096221693758109
538,9.2938512418948
1159,9.46749798697109
1636,8.03966537052928
1642,4.616960675137815
113,10.124711487839114
797,9.266963925913377
1565,7.353991683525666
1103,8.79089425076696
264,10.148960442038248
1069,6.24735833432643
510,9.662551462908525
1682,6.551049618126733
1772,7.09615369336118
653,10.5448726161109
1576,6.0157992695580935
1846,9.784215107390851
1680,6.599021094355492
864,8.623582233298317
236,6.123595846952543
486,4.572487511159652
446,6.672744095316153
457,12.152147370326134
31,7.819187635140762
1440,7.384607382273577
257,8.721916313784632
1676,7.218518342174385
477,5.509544377069806
1867,11.291593214249888
354,13.07800824529582
1468,8.703940413930313
647,3.606005466061348
1142,10.151408786074985
1493,6.28940947450361
1716,9.069226386408465
1360,5.237683006776058
860,6.456274439503396
674,9.273514098893456
1923,6.690107529039622
1055,7.85166565604231
1203,9.465652067886754
925,6.373833551570604
1286,9.69829630427411
743,10.999312534812166
567,4.686735884339815
99,6.214175948942145
224,11.83986136537348
1145,7.119620885841558
1836,6.120926156848609
1287,8.78184681302065
1177,7.008699971781161
1967,8.567333341236491
296,5.85010476203698
605,9.647205340037829
1759,6.285210597126292
1894,6.255353142973486
341,11.814982113209082
1173,6.323207253813774
1512,8.347713795549243
69,3.987627112775689
958,17.289932481536987
509,9.50611609138599
1784,5.030078152783262
1408,6.107998861811007
1630,6.213978158045626
1915,9.165138637043375
1954,5.048140973647617
1119,10.396244204757664
495,6.933907952710968
531,8.132240448354644
829,10.135348109867776
1729,8.346414319185195
1350,8.48238317265548
1053,7.674667533855278
1338,4.593285534095585
1201,5.888348622120077
974,15.30826851118754
938,6.203337484774099
269,10.370574973142077
286,9.282781396567232
1137,6.414451199179885
1018,11.198696576570793
1315,6.817687544169692
734,4.916932291559991
1376,12.9389759908033
873,5.865507085928723
1654,5.322073616670578
1101,7.416612803519175
0,8.7261535908473
1562,7.699782078348129
1758,6.300736343901519
1504,7.482107022413665
1410,9.593650774900604
310,10.910847831314593
599,10.80074034042481
32,6.275212004649344
360,13.475413547108843
1397,14.62462565358657
1160,8.605680749084748
940,4.068972692773836
147,9.151434209253612
325,9.972110588565965
908,16.287507804998338
315,5.711514610415394
470,7.3960329059123024
